player_id,game_id,game_date,matchup,win_loss,minutes,points,rebounds,assists,plus_minus
201939,0022501199,2026-04-12,GSW @ LAC,L,29,24,6,3,13
201939,0022501184,2026-04-10,GSW @ SAC,L,27,11,3,5,-4
201939,0022501154,2026-04-07,GSW vs. SAC,W,25,17,5,2,6
201939,0022501142,2026-04-05,GSW vs. HOU,L,26,29,2,4,12
201939,0022500696,2026-01-30,GSW vs. DET,L,25,23,1,2,-5
201939,0022500678,2026-01-28,GSW @ UTA,W,28,27,1,2,16
201939,0022500644,2026-01-25,GSW @ MIN,W,28,26,2,7,16
201939,0022500630,2026-01-22,GSW @ DAL,L,34,38,4,1,-24
201939,0022500618,2026-01-20,GSW vs. TOR,L,25,16,3,3,-25
201939,0022500612,2026-01-19,GSW vs. MIA,W,28,19,3,11,3
201939,0022500599,2026-01-17,GSW vs. CHA,W,30,14,3,5,2
201939,0022500584,2026-01-15,GSW vs. NYK,W,34,27,3,7,3
201939,0022500570,2026-01-13,GSW vs. POR,W,25,7,4,11,8
201939,0022500556,2026-01-11,GSW vs. ATL,L,33,31,3,5,-9
201939,0022500539,2026-01-09,GSW vs. SAC,W,32,27,0,10,14
201939,0022500526,2026-01-07,GSW vs. MIL,W,34,31,6,7,16
201939,0022500508,2026-01-05,GSW @ LAC,L,34,27,4,6,5
201939,0022500492,2026-01-03,GSW vs. UTA,W,34,31,2,5,5
201939,0022500462,2025-12-31,GSW @ CHA,W,33,26,2,4,11
201939,0022500449,2025-12-29,GSW @ BKN,W,29,27,2,5,-6
201939,0022500441,2025-12-28,GSW @ TOR,L,41,39,3,4,0
201939,0022500011,2025-12-25,GSW vs. DAL,W,33,23,3,4,-3
201939,0022500407,2025-12-22,GSW vs. ORL,W,31,26,3,6,17
201939,0022500392,2025-12-20,GSW vs. PHX,W,35,28,10,6,13
201939,0022500378,2025-12-18,GSW @ PHX,L,33,15,9,7,-12
201939,0022501221,2025-12-14,GSW @ POR,L,35,48,3,2,-8
201939,0022501215,2025-12-12,GSW vs. MIN,L,32,39,5,5,-3
201939,0022500066,2025-11-26,GSW vs. HOU,L,33,14,6,5,5
201939,0022500291,2025-11-24,GSW vs. UTA,W,29,31,4,2,4
201939,0022500056,2025-11-21,GSW vs. POR,L,34,38,2,4,-3
201939,0022500249,2025-11-18,GSW @ ORL,L,34,34,3,9,-3
201939,0022500237,2025-11-16,GSW @ NOP,W,28,9,5,3,18
201939,0022500047,2025-11-14,GSW @ SAS,W,36,49,4,2,9
201939,0022500220,2025-11-12,GSW @ SAS,W,34,46,5,5,5
201939,0022500210,2025-11-11,GSW @ OKC,L,20,11,1,0,-23
201939,0022500169,2025-11-04,GSW vs. PHX,W,34,28,4,3,7
201939,0022500144,2025-11-01,GSW @ IND,L,29,24,0,2,-21
201939,0022500139,2025-10-30,GSW @ MIL,L,35,27,6,4,-6
201939,0022500127,2025-10-28,GSW vs. LAC,W,26,19,2,8,16
201939,0022500121,2025-10-27,GSW vs. MEM,W,30,16,4,3,17
201939,0022500097,2025-10-24,GSW @ POR,L,27,35,6,3,-13
201939,0022500006,2025-10-23,GSW vs. DEN,W,37,42,6,7,15
201939,0022500002,2025-10-21,GSW @ LAL,W,32,23,1,4,1
